,VaR,ES
2022-06-29,0.03064361209915051,0.035186986564995935
2022-06-30,0.028362050808227974,0.03257308274389849
2022-07-01,0.026883215796269296,0.030878833939840075
2022-07-05,0.02546137962853272,0.029249886689284986
2022-07-06,0.024476784162111315,0.028121870596904002
2022-07-07,0.022891538601202882,0.02630571100236563
2022-07-08,0.02359749049006532,0.027114495034225833
2022-07-11,0.021824719269246937,0.025083493944548733
2022-07-12,0.022020342108803003,0.025307612091119664
2022-07-13,0.020885500572802418,0.024007464407560127
2022-07-14,0.019488977660875137,0.022407517656070127
2022-07-15,0.018810024183370178,0.021629664746197166
2022-07-18,0.01995642410758286,0.02294305446503908
2022-07-19,0.019665253611205503,0.0226094707580838
2022-07-20,0.023615063394667086,0.02713462768754051
2022-07-21,0.02262673739099817,0.026002337650994717
2022-07-22,0.02214602812050756,0.025451606095383383
2022-07-25,0.02155395027367527,0.024773283513220227
2022-07-26,0.02013908758579486,0.023152325531116923
2022-07-27,0.020157065490527287,0.023172922178711877
2022-07-28,0.025747819440124407,0.029578050618526263
2022-07-29,0.024388668059844403,0.028020919104900666
2022-08-01,0.025181800714330134,0.028929583046757402
2022-08-02,0.02343548731811356,0.02692889374800161
2022-08-03,0.022106608999241523,0.025406445006741347
2022-08-04,0.024735917282185087,0.028418750218516035
2022-08-05,0.022898594346486296,0.026313794519398633
2022-08-08,0.02158869765501091,0.024813092355177587
2022-08-09,0.02017428590906507,0.023192651001249273
2022-08-10,0.019115041954891544,0.021979112784982897
2022-08-11,0.022137781292851502,0.02544215799753571
2022-08-12,0.020800387934027796,0.023909953877116866
2022-08-15,0.021872738683794867,0.025138508084064988
2022-08-16,0.020552322873290393,0.023625754538391202
2022-08-17,0.019126460595900435,0.02199219471685281
2022-08-18,0.018501055214942896,0.02127568996130499
2022-08-19,0.017289701531916085,0.019887885025552443
2022-08-22,0.0184621259985629,0.021231090139309038
2022-08-23,0.021322240068335236,0.024507821352052213
2022-08-24,0.01980325004339917,0.022767568374327543
2022-08-25,0.018480956860145607,0.021252663989304404
2022-08-26,0.019146995635668886,0.02201572098333125
2022-08-29,0.026963592132154365,0.030970918256107045
2022-08-30,0.025391689600397976,0.029170045296656805
2022-08-31,0.02433296541747024,0.027957102563865216
2022-09-01,0.02291802260235398,0.026336052782830716
2022-09-02,0.02139723960282031,0.024593745657724403
2022-09-06,0.020957670938637016,0.024090147435088523
2022-09-07,0.019997997237567622,0.02299068332504582
2022-09-08,0.020864821518864724,0.02398377314915762
2022-09-09,0.019769884718330383,0.02272934290519969
2022-09-12,0.020825604152031593,0.0239388432034111
2022-09-13,0.0221727512385449,0.025482221823581154
2022-09-14,0.035085912519601276,0.040276372543657894
2022-09-15,0.032401790801729155,0.03720126952426907
2022-09-16,0.030990644703540925,0.03558456950711129
2022-09-19,0.028922770584244174,0.03321547949691362
2022-09-20,0.02764027206971891,0.0317461664519356
2022-09-21,0.026285223270684947,0.030193735120083793
2022-09-22,0.026331266345525527,0.030246485037317968
2022-09-23,0.025090580465053473,0.028825075243660292
2022-09-26,0.0249371507288855,0.02864929623862761
2022-09-27,0.023494490261531095,0.026996491326847602
2022-09-28,0.022093146551231183,0.02539102155770425
2022-09-29,0.02332943873892343,0.02680739765343255
2022-09-30,0.027673607368095092,0.03178435752054708
2022-10-03,0.02787994788640862,0.032020754531406626
2022-10-04,0.029797929862240887,0.034218118431018046
2022-10-05,0.03193359479251996,0.03666487396813669
2022-10-06,0.02950391331280229,0.03388127410204861
2022-10-07,0.027676172605908097,0.031787296422494664
2022-10-10,0.031653880767908184,0.03634441553440703
2022-10-11,0.02965463464673147,0.03405395018673056
2022-10-12,0.027932020325337568,0.0320804120771547
